Name,Type,Set,SetNo,Color,SubType
Pecharunt,Pokmon,Scarlet & Violet Promos,129,{D},0
Paradise Resort,Trainer,Scarlet & Violet Promos,137,0,Stadium
Pikachu,Pokmon,Scarlet & Violet Promos,138,{L},0
Pecharunt,Pokmon,Scarlet & Violet Promos,136,{D},0
Greninja ex,Pokmon,Scarlet & Violet Promos,132,{W},0
Kingdra ex,Pokmon,Scarlet & Violet Promos,131,{W},0
Kingambit,Pokmon,Scarlet & Violet Promos,130,{M},0
Basic {M} Energy,Energy,Shrouded Fable,99,{M},0
Basic {D} Energy,Energy,Shrouded Fable,98,{M},0
Powerglass,Trainer,Shrouded Fable,97,0,Pokmon Tool
Earthen Vessel,Trainer,Shrouded Fable,96,0,Item
Pecharunt ex,Pokmon,Shrouded Fable,95,{D},0
Cassiopeia,Trainer,Shrouded Fable,94,0,Supporter
Pecharunt ex,Pokmon,Shrouded Fable,93,{D},0
Fezandipiti ex,Pokmon,Shrouded Fable,92,{D},0
Munkidori ex,Pokmon,Shrouded Fable,91,{D},0
Okidogi ex,Pokmon,Shrouded Fable,90,{D},0
Xerosics Machinations,Trainer,Shrouded Fable,89,0,Supporter
Janines Secret Art,Trainer,Shrouded Fable,88,0,Supporter
Colresss Tenacity,Trainer,Shrouded Fable,87,0,Supporter
Cassiopeia,Trainer,Shrouded Fable,86,0,Supporter
Pecharunt ex,Pokmon,Shrouded Fable,85,{D},0
Fezandipiti ex,Pokmon,Shrouded Fable,84,{D},0
Munkidori ex,Pokmon,Shrouded Fable,83,{D},0
Okidogi ex,Pokmon,Shrouded Fable,82,{D},0
Revavroom ex,Pokmon,Shrouded Fable,81,{L},0
Kingdra ex,Pokmon,Shrouded Fable,80,{W},0
Bewear,Pokmon,Shrouded Fable,79,{C},0
Persian,Pokmon,Shrouded Fable,78,{C},0
Fraxure,Pokmon,Shrouded Fable,77,{N},0
Cufant,Pokmon,Shrouded Fable,76,{M},0
Zorua,Pokmon,Shrouded Fable,75,{D},0
Okidogi,Pokmon,Shrouded Fable,74,{F},0
Fezandipiti,Pokmon,Shrouded Fable,73,{P},0
Munkidori,Pokmon,Shrouded Fable,72,{P},0
Cresselia,Pokmon,Shrouded Fable,71,{P},0
Dusknoir,Pokmon,Shrouded Fable,70,{P},0
Dusclops,Pokmon,Shrouded Fable,69,{P},0
Duskull,Pokmon,Shrouded Fable,68,{P},0
Horsea,Pokmon,Shrouded Fable,67,{W},0
Houndoom,Pokmon,Shrouded Fable,66,{R},0
Tapu Bulu,Pokmon,Shrouded Fable,65,{G},0
Xerosics Machinations,Trainer,Shrouded Fable,64,0,Supporter
Powerglass,Trainer,Shrouded Fable,63,0,Pokmon Tool
Pok Vital A,Trainer,Shrouded Fable,62,0,Item
Night Stretcher,Trainer,Shrouded Fable,61,0,Item
Neutralization Zone,Trainer,Shrouded Fable,60,0,Stadium
Janines Secret Art,Trainer,Shrouded Fable,59,0,Supporter
Dangerous Laser,Trainer,Shrouded Fable,58,0,Item
Colresss Tenacity,Trainer,Shrouded Fable,57,0,Supporter
Cassiopeia,Trainer,Shrouded Fable,56,0,Supporter
Binding Mochi,Trainer,Shrouded Fable,55,0,Pokmon Tool
Academy at Night,Trainer,Shrouded Fable,54,0,Stadium
Bewear,Pokmon,Shrouded Fable,53,{C},0
Stufful,Pokmon,Shrouded Fable,52,{C},0
Furfrou,Pokmon,Shrouded Fable,51,{C},0
Eevee,Pokmon,Shrouded Fable,50,{C},0
Persian,Pokmon,Shrouded Fable,49,{C},0
Meowth,Pokmon,Shrouded Fable,48,{C},0
Kyurem,Pokmon,Shrouded Fable,47,{N},0
Haxorus,Pokmon,Shrouded Fable,46,{N},0
Fraxure,Pokmon,Shrouded Fable,45,{N},0
Axew,Pokmon,Shrouded Fable,44,{N},0
Varoom,Pokmon,Shrouded Fable,43,{M},0
Copperajah,Pokmon,Shrouded Fable,42,{M},0
Cufant,Pokmon,Shrouded Fable,41,{M},0
Genesect,Pokmon,Shrouded Fable,40,{M},0
Pecharunt ex,Pokmon,Shrouded Fable,39,{D},0
Fezandipiti ex,Pokmon,Shrouded Fable,38,{D},0
Munkidori ex,Pokmon,Shrouded Fable,37,{D},0
Okidogi ex,Pokmon,Shrouded Fable,36,{D},0
Yveltal,Pokmon,Shrouded Fable,35,{D},0
Malamar,Pokmon,Shrouded Fable,34,{D},0
Inkay,Pokmon,Shrouded Fable,33,{D},0
Zoroark,Pokmon,Shrouded Fable,32,{D},0
Zorua,Pokmon,Shrouded Fable,31,{D},0
Absol,Pokmon,Shrouded Fable,30,{D},0
Crobat,Pokmon,Shrouded Fable,29,{D},0
Golbat,Pokmon,Shrouded Fable,28,{D},0
Zubat,Pokmon,Shrouded Fable,27,{D},0
Slither Wing,Pokmon,Shrouded Fable,26,{F},0
Bloodmoon Ursaluna,Pokmon,Shrouded Fable,25,{F},0
Toxicroak,Pokmon,Shrouded Fable,24,{F},0
Croagunk,Pokmon,Shrouded Fable,23,{F},0
Sylveon,Pokmon,Shrouded Fable,22,{P},0
Cresselia,Pokmon,Shrouded Fable,21,{P},0
Dusknoir,Pokmon,Shrouded Fable,20,{P},0
Dusclops,Pokmon,Shrouded Fable,19,{P},0
Duskull,Pokmon,Shrouded Fable,18,{P},0
Hypno,Pokmon,Shrouded Fable,17,{P},0
Drowzee,Pokmon,Shrouded Fable,16,{P},0
Revavroom ex,Pokmon,Shrouded Fable,15,{L},0
Weavile,Pokmon,Shrouded Fable,14,{W},0
Sneasel,Pokmon,Shrouded Fable,13,{W},0
Kingdra ex,Pokmon,Shrouded Fable,12,{W},0
Seadra,Pokmon,Shrouded Fable,11,{W},0
Horsea,Pokmon,Shrouded Fable,10,{W},0
Iron Moth,Pokmon,Shrouded Fable,9,{R},0
Houndoom,Pokmon,Shrouded Fable,8,{R},0
Houndour,Pokmon,Shrouded Fable,7,{R},0
Tapu Bulu,Pokmon,Shrouded Fable,6,{G},0
Decidueye,Pokmon,Shrouded Fable,5,{G},0
Dartrix,Pokmon,Shrouded Fable,4,{G},0
Rowlet,Pokmon,Shrouded Fable,3,{G},0
Galvantula,Pokmon,Shrouded Fable,2,{G},0
Joltik,Pokmon,Shrouded Fable,1,{G},0
Miraidon ex,Pokmon,Scarlet & Violet Promos,134,{L},0
Victini ex,Pokmon,Scarlet & Violet Promos,133,{R},0
Miraidon,Pokmon,Scarlet & Violet Promos,135,{L},0
Palafin ex,Pokmon,Scarlet & Violet Promos,126,{W},0
Kingambit,Pokmon,Scarlet & Violet Promos,113,{D},0
Bisharp,Pokmon,Scarlet & Violet Promos,112,{D},0
Pawniard,Pokmon,Scarlet & Violet Promos,111,{D},0
Darkrai ex,Pokmon,Scarlet & Violet Promos,110,{D},0
Ampharos,Pokmon,Scarlet & Violet Promos,109,{L},0
Flaaffy,Pokmon,Scarlet & Violet Promos,108,{L},0
Mareep,Pokmon,Scarlet & Violet Promos,107,{L},0
Pikachu ex,Pokmon,Scarlet & Violet Promos,106,{L},0
Armarouge ex,Pokmon,Scarlet & Violet Promos,105,{R},0
Luminous Energy,Energy,Twilight Masquerade,226,{R},0
Rescue Board,Trainer,Twilight Masquerade,225,0,Pokmon Tool
Enhanced Hammer,Trainer,Twilight Masquerade,224,0,Item
Buddy-Buddy Poffin,Trainer,Twilight Masquerade,223,0,Item
Bloodmoon Ursaluna ex,Pokmon,Twilight Masquerade,222,{C},0
Teal Mask Ogerpon ex,Pokmon,Twilight Masquerade,221,{G},0
Perrin,Trainer,Twilight Masquerade,220,0,Supporter
Lanas Aid,Trainer,Twilight Masquerade,219,0,Supporter
Kieran,Trainer,Twilight Masquerade,218,0,Supporter
Carmine,Trainer,Twilight Masquerade,217,0,Supporter
Bloodmoon Ursaluna ex,Pokmon,Twilight Masquerade,216,{C},0
Cornerstone Mask Ogerpon ex,Pokmon,Twilight Masquerade,215,{F},0
Greninja ex,Pokmon,Twilight Masquerade,214,{F},0
Wellspring Mask Ogerpon ex,Pokmon,Twilight Masquerade,213,{W},0
Hearthflame Mask Ogerpon ex,Pokmon,Twilight Masquerade,212,{R},0
Teal Mask Ogerpon ex,Pokmon,Twilight Masquerade,211,{G},0
Sinistcha ex,Pokmon,Twilight Masquerade,210,{G},0
Perrin,Trainer,Twilight Masquerade,209,0,Supporter
Lucian,Trainer,Twilight Masquerade,208,0,Supporter
Lanas Aid,Trainer,Twilight Masquerade,207,0,Supporter
Kieran,Trainer,Twilight Masquerade,206,0,Supporter
Hassel,Trainer,Twilight Masquerade,205,0,Supporter
Carmine,Trainer,Twilight Masquerade,204,0,Supporter
Caretaker,Trainer,Twilight Masquerade,203,0,Supporter
Bloodmoon Ursaluna ex,Pokmon,Twilight Masquerade,202,{C},0
Blissey ex,Pokmon,Twilight Masquerade,201,{C},0
Dragapult ex,Pokmon,Twilight Masquerade,200,{N},0
Cornerstone Mask Ogerpon ex,Pokmon,Twilight Masquerade,199,{F},0
Greninja ex,Pokmon,Twilight Masquerade,198,{F},0
Scream Tail ex,Pokmon,Twilight Masquerade,197,{P},0
Iron Thorns ex,Pokmon,Twilight Masquerade,196,{L},0
Luxray ex,Pokmon,Twilight Masquerade,195,{L},0
Wellspring Mask Ogerpon ex,Pokmon,Twilight Masquerade,194,{W},0
Palafin ex,Pokmon,Twilight Masquerade,193,{W},0
Hearthflame Mask Ogerpon ex,Pokmon,Twilight Masquerade,192,{R},0
Magcargo ex,Pokmon,Twilight Masquerade,191,{R},0
Teal Mask Ogerpon ex,Pokmon,Twilight Masquerade,190,{G},0
Sinistcha ex,Pokmon,Twilight Masquerade,189,{G},0
Eevee,Pokmon,Twilight Masquerade,188,{C},0
Chansey,Pokmon,Twilight Masquerade,187,{C},0
Tatsugiri,Pokmon,Twilight Masquerade,186,{N},0
Applin,Pokmon,Twilight Masquerade,185,{N},0
Lairon,Pokmon,Twilight Masquerade,184,{M},0
Timburr,Pokmon,Twilight Masquerade,183,{F},0
Probopass,Pokmon,Twilight Masquerade,182,{F},0
Hisuian Growlithe,Pokmon,Twilight Masquerade,181,{F},0
Enamorus,Pokmon,Twilight Masquerade,180,{P},0
Chimecho,Pokmon,Twilight Masquerade,179,{P},0
Wattrel,Pokmon,Twilight Masquerade,178,{L},0
Heliolisk,Pokmon,Twilight Masquerade,177,{L},0
Cramorant,Pokmon,Twilight Masquerade,176,{W},0
Phione,Pokmon,Twilight Masquerade,175,{W},0
Froslass,Pokmon,Twilight Masquerade,174,{W},0
Infernape,Pokmon,Twilight Masquerade,173,{R},0
Torkoal,Pokmon,Twilight Masquerade,172,{R},0
Poltchageist,Pokmon,Twilight Masquerade,171,{G},0
Dipplin,Pokmon,Twilight Masquerade,170,{G},0
Sunflora,Pokmon,Twilight Masquerade,169,{G},0
Pinsir,Pokmon,Twilight Masquerade,168,{G},0
Legacy Energy,Energy,Twilight Masquerade,167,{G},0
Boomerang Energy,Energy,Twilight Masquerade,166,{G},0
Unfair Stamp,Trainer,Twilight Masquerade,165,0,Item
Survival Brace,Trainer,Twilight Masquerade,164,0,Pokmon Tool
Secret Box,Trainer,Twilight Masquerade,163,0,Item
Scoop Up Cyclone,Trainer,Twilight Masquerade,162,0,Item
Raifort,Trainer,Twilight Masquerade,161,0,Supporter
Perrin,Trainer,Twilight Masquerade,160,0,Supporter
Ogres Mask,Trainer,Twilight Masquerade,159,0,Item
Lucky Helmet,Trainer,Twilight Masquerade,158,0,Pokmon Tool
Lucian,Trainer,Twilight Masquerade,157,0,Supporter
Love Ball,Trainer,Twilight Masquerade,156,0,Item
Lanas Aid,Trainer,Twilight Masquerade,155,0,Supporter
Kieran,Trainer,Twilight Masquerade,154,0,Supporter
Jamming Tower,Trainer,Twilight Masquerade,153,0,Stadium
Hyper Aroma,Trainer,Twilight Masquerade,152,0,Item
Hassel,Trainer,Twilight Masquerade,151,0,Supporter
Handheld Fan,Trainer,Twilight Masquerade,150,0,Pokmon Tool
Festival Grounds,Trainer,Twilight Masquerade,149,0,Stadium
Enhanced Hammer,Trainer,Twilight Masquerade,148,0,Item
Cook,Trainer,Twilight Masquerade,147,0,Supporter
Community Center,Trainer,Twilight Masquerade,146,0,Stadium
Carmine,Trainer,Twilight Masquerade,145,0,Supporter
Caretaker,Trainer,Twilight Masquerade,144,0,Supporter
Bug Catching Set,Trainer,Twilight Masquerade,143,0,Item
Accompanying Flute,Trainer,Twilight Masquerade,142,0,Item
Bloodmoon Ursaluna ex,Pokmon,Twilight Masquerade,141,{C},0
Swanna,Pokmon,Twilight Masquerade,140,{C},0
Ducklett,Pokmon,Twilight Masquerade,139,{C},0
Ambipom,Pokmon,Twilight Masquerade,138,{C},0
Aipom,Pokmon,Twilight Masquerade,137,{C},0
Snorlax,Pokmon,Twilight Masquerade,136,{C},0
Eevee,Pokmon,Twilight Masquerade,135,{C},0
Blissey ex,Pokmon,Twilight Masquerade,134,{C},0
Chansey,Pokmon,Twilight Masquerade,133,{C},0
Farfetchd,Pokmon,Twilight Masquerade,132,{C},0
Tatsugiri,Pokmon,Twilight Masquerade,131,{N},0
Dragapult ex,Pokmon,Twilight Masquerade,130,{N},0
Drakloak,Pokmon,Twilight Masquerade,129,{N},0
Dreepy,Pokmon,Twilight Masquerade,128,{N},0
Iron Leaves ex,Pokmon,Scarlet & Violet Promos,128,{G},0
Dipplin,Pokmon,Twilight Masquerade,127,{N},0
Walking Wake ex,Pokmon,Scarlet & Violet Promos,127,{W},0
Applin,Pokmon,Twilight Masquerade,126,{N},0
Revavroom,Pokmon,Twilight Masquerade,125,{M},0
Varoom,Pokmon,Twilight Masquerade,124,{M},0
Teal Mask Ogerpon,Pokmon,Scarlet & Violet Promos,123,{G},0
Heatran,Pokmon,Twilight Masquerade,123,{M},0
Snorlax,Pokmon,Scarlet & Violet Promos,122,{C},0
Aggron,Pokmon,Twilight Masquerade,122,{M},0
Revavroom,Pokmon,Scarlet & Violet Promos,121,{M},0
Lairon,Pokmon,Twilight Masquerade,121,{M},0
Pupitar,Pokmon,Scarlet & Violet Promos,120,{F},0
Aron,Pokmon,Twilight Masquerade,120,{M},0
Toxel,Pokmon,Scarlet & Violet Promos,119,{L},0
Skarmory,Pokmon,Twilight Masquerade,119,{M},0
Tatsugiri,Pokmon,Scarlet & Violet Promos,118,{N},0
Brute Bonnet,Pokmon,Twilight Masquerade,118,{D},0
Scolipede,Pokmon,Twilight Masquerade,117,{D},0
Froslass,Pokmon,Scarlet & Violet Promos,117,{W},0
Whirlipede,Pokmon,Twilight Masquerade,116,{D},0
Infernape,Pokmon,Scarlet & Violet Promos,116,{R},0
Venipede,Pokmon,Twilight Masquerade,115,{D},0
Thwackey,Pokmon,Scarlet & Violet Promos,115,{G},0
Mightyena,Pokmon,Twilight Masquerade,114,{D},0
Picnicker,Trainer,Scarlet & Violet Promos,114,0,Supporter
Poochyena,Pokmon,Twilight Masquerade,113,{D},0
Cornerstone Mask Ogerpon ex,Pokmon,Twilight Masquerade,112,{F},0
Okidogi,Pokmon,Twilight Masquerade,111,{F},0
Ting-Lu,Pokmon,Twilight Masquerade,110,{F},0
Glimmora,Pokmon,Twilight Masquerade,109,{F},0
Glimmet,Pokmon,Twilight Masquerade,108,{F},0
Hawlucha,Pokmon,Twilight Masquerade,107,{F},0
Greninja ex,Pokmon,Twilight Masquerade,106,{F},0
Conkeldurr,Pokmon,Twilight Masquerade,105,{F},0
Gurdurr,Pokmon,Twilight Masquerade,104,{F},0
Timburr,Pokmon,Twilight Masquerade,103,{F},0
Probopass,Pokmon,Twilight Masquerade,102,{F},0
Nosepass,Pokmon,Twilight Masquerade,101,{F},0
Hisuian Arcanine,Pokmon,Twilight Masquerade,100,{F},0
Hisuian Growlithe,Pokmon,Twilight Masquerade,99,{F},0
Sandslash,Pokmon,Twilight Masquerade,98,{F},0
Sandshrew,Pokmon,Twilight Masquerade,97,{F},0
Fezandipiti,Pokmon,Twilight Masquerade,96,{P},0
Munkidori,Pokmon,Twilight Masquerade,95,{P},0
Scream Tail ex,Pokmon,Twilight Masquerade,94,{P},0
Enamorus,Pokmon,Twilight Masquerade,93,{P},0
Palossand,Pokmon,Twilight Masquerade,92,{P},0
Sandygast,Pokmon,Twilight Masquerade,91,{P},0
