Name,Type,Set,Set No.,Color,Sub-Type
Arbok,Pokémon,Temporal Forces,101,{D},0
Ekans,Pokémon,Temporal Forces,100,{D},0
Iron Boulder ex,Pokémon,Temporal Forces,99,{F},0
Sandy Shocks,Pokémon,Temporal Forces,98,{F},0
Iron Thorns,Pokémon,Scarlet & Violet Promos,98,{L},0
Great Tusk,Pokémon,Temporal Forces,97,{F},0
Flutter Mane,Pokémon,Scarlet & Violet Promos,97,{P},0
Great Tusk,Pokémon,Temporal Forces,96,{F},0
Cyclizar,Pokémon,Scarlet & Violet Promos,96,{C},0
Cleffa,Pokémon,Scarlet & Violet Promos,95,{P},0
Coalossal,Pokémon,Temporal Forces,95,{F},0
Bellibolt,Pokémon,Scarlet & Violet Promos,94,{L},0
Carkol,Pokémon,Temporal Forces,94,{F},0
Carvanha,Pokémon,Scarlet & Violet Promos,93,{W},0
Rolycoly,Pokémon,Temporal Forces,93,{F},0
Miraidon,Pokémon,Scarlet & Violet Promos,92,{N},0
Mudsdale,Pokémon,Temporal Forces,92,{F},0
Mudbray,Pokémon,Temporal Forces,91,{F},0
Koraidon,Pokémon,Scarlet & Violet Promos,91,{N},0
Lycanroc,Pokémon,Temporal Forces,90,{F},0
Metang,Pokémon,Scarlet & Violet Promos,90,{M},0
Feraligatr,Pokémon,Scarlet & Violet Promos,89,{W},0
Rockruff,Pokémon,Temporal Forces,89,{F},0
Golurk,Pokémon,Temporal Forces,88,{F},0
Golett,Pokémon,Temporal Forces,87,{F},0
Excadrill,Pokémon,Temporal Forces,86,{F},0
Drilbur,Pokémon,Temporal Forces,85,{F},0
Relicanth,Pokémon,Temporal Forces,84,{F},0
Medicham,Pokémon,Temporal Forces,83,{F},0
Meditite,Pokémon,Temporal Forces,82,{F},0
Iron Crown ex,Pokémon,Temporal Forces,81,{P},0
Iron Valiant,Pokémon,Temporal Forces,80,{P},0
Iron Valiant,Pokémon,Temporal Forces,79,{P},0
Flutter Mane,Pokémon,Temporal Forces,78,{P},0
Scream Tail,Pokémon,Temporal Forces,77,{P},0
Ribombee,Pokémon,Temporal Forces,76,{P},0
Cutiefly,Pokémon,Temporal Forces,75,{P},0
Beheeyem,Pokémon,Temporal Forces,74,{P},0
Elgyem,Pokémon,Temporal Forces,73,{P},0
Reuniclus,Pokémon,Temporal Forces,72,{P},0
Duosion,Pokémon,Temporal Forces,71,{P},0
Solosis,Pokémon,Temporal Forces,70,{P},0
Bronzong,Pokémon,Temporal Forces,69,{P},0
Bronzor,Pokémon,Temporal Forces,68,{P},0
Latias,Pokémon,Temporal Forces,67,{P},0
Girafarig,Pokémon,Temporal Forces,66,{P},0
Azumarill,Pokémon,Temporal Forces,65,{P},0
Marill,Pokémon,Temporal Forces,64,{P},0
Mr. Mime,Pokémon,Temporal Forces,63,{P},0
Iron Thorns,Pokémon,Temporal Forces,62,{L},0
Iron Hands,Pokémon,Temporal Forces,61,{L},0
Wugtrio ex,Pokémon,Temporal Forces,60,{L},0
Boltund,Pokémon,Temporal Forces,59,{L},0
Yamper,Pokémon,Temporal Forces,58,{L},0
Zeraora,Pokémon,Temporal Forces,57,{L},0
Vikavolt,Pokémon,Temporal Forces,56,{L},0
Charjabug,Pokémon,Temporal Forces,55,{L},0
Electivire,Pokémon,Temporal Forces,54,{L},0
Electabuzz,Pokémon,Temporal Forces,53,{L},0
Raichu,Pokémon,Temporal Forces,52,{L},0
Oinkologne,Pokémon,Paldean Fates,72,{C},0
Lechonk,Pokémon,Paldean Fates,71,{C},0
Maschiff,Pokémon,Scarlet & Violet Promos,71,{D},0
Greavard,Pokémon,Scarlet & Violet Promos,70,{P},0
Cyclizar,Pokémon,Paldean Fates,70,{N},0
Fidough,Pokémon,Scarlet & Violet Promos,69,{P},0
Noivern ex,Pokémon,Paldean Fates,69,{N},0
Noibat,Pokémon,Paldean Fates,68,{N},0
Gholdengo,Pokémon,Paldean Fates,67,{M},0
