Name,Type,Set,Set No.,Color,Sub-Type
Gardevoir-EX,Pokémon,Primal Clash,155,{Y},0
M Aggron-EX,Pokémon,Primal Clash,154,{M},0
Aggron-EX,Pokémon,Primal Clash,153,{M},0
Sharpedo-EX,Pokémon,Primal Clash,152,{D},0
Primal Groudon-EX,Pokémon,Primal Clash,151,{F},0
Groudon-EX,Pokémon,Primal Clash,150,{F},0
Primal Kyogre-EX,Pokémon,Primal Clash,149,{W},0
Kyogre-EX,Pokémon,Primal Clash,148,{W},0
Wailord-EX,Pokémon,Primal Clash,147,{W},0
Camerupt-EX,Pokémon,Primal Clash,146,{R},0
Trevenant-EX,Pokémon,Primal Clash,145,{G},0
Wonder Energy,Energy,Primal Clash,144,{G},0
Shield Energy,Energy,Primal Clash,143,{G},0
Weakness Policy,Trainer,Primal Clash,142,0,Pokémon Tool
Teammates,Trainer,Primal Clash,141,0,Supporter
Silent Lab,Trainer,Primal Clash,140,0,Stadium
Shrine of Memories,Trainer,Primal Clash,139,0,Stadium
Scorched Earth,Trainer,Primal Clash,138,0,Stadium
Rough Seas,Trainer,Primal Clash,137,0,Stadium
Repeat Ball,Trainer,Primal Clash,136,0,Item
Rare Candy,Trainer,Primal Clash,135,0,Item
Professor Birch’s Observations,Trainer,Primal Clash,134,0,Supporter
Maxie’s Hidden Ball Trick,Trainer,Primal Clash,133,0,Supporter
Kyogre Spirit Link,Trainer,Primal Clash,132,0,Pokémon Tool
Groudon Spirit Link,Trainer,Primal Clash,131,0,Pokémon Tool
Gardevoir Spirit Link,Trainer,Primal Clash,130,0,Pokémon Tool
Fresh Water Set,Trainer,Primal Clash,129,0,Item
Exp. Share,Trainer,Primal Clash,128,0,Pokémon Tool
Escape Rope,Trainer,Primal Clash,127,0,Item
Energy Retrieval,Trainer,Primal Clash,126,0,Item
Dive Ball,Trainer,Primal Clash,125,0,Item
Archie’s Ace in the Hole,Trainer,Primal Clash,124,0,Supporter
Aggron Spirit Link,Trainer,Primal Clash,123,0,Pokémon Tool
Acro Bike,Trainer,Primal Clash,122,0,Item
Bunnelby,Pokémon,Primal Clash,121,{C},0
Bunnelby,Pokémon,Primal Clash,120,{C},0
